"","DATE","ATM","Cash"
"155",2009-06-08,"ATM3",0
"156",2009-06-08,"ATM4",577
"157",2009-06-09,"ATM1",145
"158",2009-06-09,"ATM2",93
"159",2009-06-09,"ATM3",0
"160",2009-06-09,"ATM4",1485
"161",2009-06-10,"ATM1",81
"162",2009-06-10,"ATM2",26
"163",2009-06-10,"ATM3",0
"164",2009-06-10,"ATM4",194
"165",2009-06-11,"ATM1",16
"166",2009-06-11,"ATM2",7
"167",2009-06-11,"ATM3",0
"168",2009-06-11,"ATM4",28
"169",2009-06-12,"ATM1",142
"170",2009-06-12,"ATM2",112
"171",2009-06-12,"ATM3",0
"172",2009-06-12,"ATM4",1191
"173",2009-06-13,"ATM1",NA
"174",2009-06-13,"ATM2",91
"175",2009-06-13,"ATM3",0
"176",2009-06-13,"ATM4",747
"177",2009-06-14,"ATM1",120
"178",2009-06-14,"ATM2",72
"179",2009-06-14,"ATM3",0
"180",2009-06-14,"ATM4",1221
"181",2009-06-15,"ATM1",106
"182",2009-06-15,"ATM2",66
"183",2009-06-15,"ATM3",0
"184",2009-06-15,"ATM4",1022
"185",2009-06-16,"ATM1",NA
"186",2009-06-16,"ATM2",82
"187",2009-06-16,"ATM3",0
"188",2009-06-16,"ATM4",373
"189",2009-06-17,"ATM1",108
"190",2009-06-17,"ATM2",24
"191",2009-06-17,"ATM3",0
"192",2009-06-17,"ATM4",322
"193",2009-06-18,"ATM1",21
"194",2009-06-18,"ATM2",NA
"195",2009-06-18,"ATM3",0
"196",2009-06-18,"ATM4",93
"197",2009-06-19,"ATM1",140
"198",2009-06-19,"ATM2",134
"199",2009-06-19,"ATM3",0
"200",2009-06-19,"ATM4",117
"201",2009-06-20,"ATM1",110
"202",2009-06-20,"ATM2",95
"203",2009-06-20,"ATM3",0
"204",2009-06-20,"ATM4",203
"205",2009-06-21,"ATM1",115
"206",2009-06-21,"ATM2",82
"207",2009-06-21,"ATM3",0
"208",2009-06-21,"ATM4",525
"209",2009-06-22,"ATM1",NA
"210",2009-06-22,"ATM2",90
"211",2009-06-22,"ATM3",0
"212",2009-06-22,"ATM4",81
"213",2009-06-23,"ATM1",108
"214",2009-06-23,"ATM2",99
"215",2009-06-23,"ATM3",0
"216",2009-06-23,"ATM4",65
"217",2009-06-24,"ATM1",66
"218",2009-06-24,"ATM2",NA
"219",2009-06-24,"ATM3",0
"220",2009-06-24,"ATM4",91
"221",2009-06-25,"ATM1",13
"222",2009-06-25,"ATM2",3
"223",2009-06-25,"ATM3",0
"224",2009-06-25,"ATM4",49
"225",2009-06-26,"ATM1",99
"226",2009-06-26,"ATM2",117
"227",2009-06-26,"ATM3",0
"228",2009-06-26,"ATM4",1027
"229",2009-06-27,"ATM1",105
"230",2009-06-27,"ATM2",53
"231",2009-06-27,"ATM3",0
"232",2009-06-27,"ATM4",424
"233",2009-06-28,"ATM1",104
"234",2009-06-28,"ATM2",44
"235",2009-06-28,"ATM3",0
"236",2009-06-28,"ATM4",61
"237",2009-06-29,"ATM1",98
"238",2009-06-29,"ATM2",56
"239",2009-06-29,"ATM3",0
"240",2009-06-29,"ATM4",541
"241",2009-06-30,"ATM1",110
"242",2009-06-30,"ATM2",110
"243",2009-06-30,"ATM3",0
"244",2009-06-30,"ATM4",174
"245",2009-07-01,"ATM1",79
"246",2009-07-01,"ATM2",36
"247",2009-07-01,"ATM3",0
"248",2009-07-01,"ATM4",394
"249",2009-07-02,"ATM1",16
"250",2009-07-02,"ATM2",12
"251",2009-07-02,"ATM3",0
"252",2009-07-02,"ATM4",42
"253",2009-07-03,"ATM1",110
"254",2009-07-03,"ATM2",128
"255",2009-07-03,"ATM3",0
"256",2009-07-03,"ATM4",311
"257",2009-07-04,"ATM1",96
"258",2009-07-04,"ATM2",72
"259",2009-07-04,"ATM3",0
"260",2009-07-04,"ATM4",111
